LOC NO,LOC STREET,LOC CITY,LOC STATE,LOC ZIP,DBA,FEIN/SSN,LIC TEXT2 (LIC 1),CHG 1 DESC (LIC 1),CHG 1 LONG DESC (LIC 1),CYCLE CODE (LIC 2),CYCLE DESC (LIC 2),LIC TEXT1 (LIC 2),LIC TEXT2 (LIC 2),LIC TEXT4 (LIC 2),CYCLE DESC (LIC 3),LIC TEXT2 (LIC 3),CHG 1 DESC (LIC 3),CHG 1 LONG DESC (LIC 3),CYCLE CODE (LIC 4),CYCLE DESC (LIC 4),LIC TEXT1 (LIC 4),LIC TEXT2 (LIC 4),LIC TEXT4 (LIC 4),CYCLE CODE (LIC 5),CYCLE DESC (LIC 5),LIC TEXT1 (LIC 5),LIC TEXT2 (LIC 5),QTY STAT CD (LIC 5)
670,JACKSON,JOLIET,IL,60432,LOS TRES HERMANOS,36-3837762,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQUOR LICENSE,CLASS V VIDEO GAMING,CLASS V,CLASS V VIDEO GAMING,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS M VIDEO POKER ONLY,,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,SEAT
117,CENTER,JOLIET,IL,60435,O'CHARLEY'S IRISH PUB,36-3293144,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,LIQUOR LICENSE,CLASS M MUSIC/ENTERTAINMENT,CLASS M,CLASS M MUSIC/ENTERTAINMENT,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS V VIDEO GAMING,,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS G OUTDOOR/GRANDFATHERED,
3340,MALL LOOP,JOLIET,IL,60431,CINEMARK 1044,75-2206284,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,AMUSEMENT- MOVIE THEATER,MV THTR,AMUSEMENT - MOVIE THEATER LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BL,BUSINESS LICENSE,BUSINESS LICENSE,AMUSEMENT,
868,COLLINS,JOLIET,IL,60432,COLLINS ST AUTO PARTS CO,26-0891885,COIN VENDING-FOOD/SODA,COIN FOOD,COIN VENDING - FOOD/SODA LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,PAINT SALES,,,,,,,,,,,,,,,
2022,ESSINGTON,JOLIET,IL,60435,DARCY BUICK GMC,36-3781265,SECOND HAND SALES,2ND HND SL,SECOND HAND SALES LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,SECOND HAND SALES,,BUSINESS LICENSE,PUBLIC GARAGE,PUBLIC GRG,PUBLIC GARAGE LICENSE,,,,,,,,,,
809,PLAINFIELD,JOLIET,IL,60435,CVS PHARMACY 2936,37-1414552,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,,,,,,,,,,,,,,,,,,,
308,WESTERN,JOLIET,IL,60435,WESTERN FOODS,27-1035918,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,NATIONAL ENTERTAINMENT NETWORK,84-1093721,COIN VENDING-BULK,COIN BULK,COIN VENDING - BULK LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,COIN VENDING AMUSEMENT,,,,,,,,,,,,,,,
1700,JEFFERSON,JOLIET,IL,60435,DAIRY QUEEN,36-4427686,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,
0,OUT OF AREA,,,,CTM GROUP,01-05722964,COIN VENDING AMUSEMENT,CN AMSNT,COIN VENDING - AMUSEMENT LICENSE,,,,,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,GAMING & ENTERTAINMENT MNGMT - IL LLC,27-3941891,COIN VENDING-VIDEO POKER,COIN PKR,COIN VENDING - VIDEO POKER LICENSE,,,,,,,,,,,,,,,,,,,
1410,WASHINGTON,JOLIET,IL,60433,DAIRY QUEEN,20-8497941,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,
0,OUT OF AREA,,,,TIMM ELECTRIC,,ELECTRICAL,ELECTRIC,ELECTRIC LICENSE,,,,,,,,,,,,,,,,,,,
2219,JEFFERSON,JOLIET,IL,60435,STAR INN,26-3300151,HOTEL/MOTEL,HOTEL 2,HOTEL/MOTEL LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,HOTEL/MOTEL,,BUSINESS LICENSE,COIN VENDING-FOOD/SODA,COIN FOOD,COIN VENDING - FOOD/SODA LICENSE,,,,,,,,,,
229,CASS,JOLIET,IL,60432,DAN'S HOMEMADE CANDIES,20-0443396,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,
0,OUT OF AREA,,,,GROOT INDUSTRIES,SSN,MUNICIPAL WASTE HAULER,MUN WASTE,MUNICIPAL WASTE HAULER LICENSE,,,,,,,,,,,,,,,,,,,
0,OUT OF AREA,,,,WASTE MANAGEMENT OF ILLINOIS,36-2660859,MUNICIPAL WASTE HAULER,MUN WASTE,MUNICIPAL WASTE HAULER LICENSE,,,,,,,,,,,,,,,,,,,
7158,CATON FARM,PLAINFIELD,IL,60586,SUPER TACO,46-3123215,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,
1012,RICHMOND,JOLIET,IL,60435,SELLERS & SONS ELECTRICAL CONTRACTORS, ,ELECTRICAL,ELECTRIC,ELECTRIC LICENSE,,,,,,,,,,,,,,,,,,,
