"","LOC NO","LOC STREET","LOC CITY","LOC STATE","LOC ZIP","DBA","FEIN/SSN","LIC TEXT2 (LIC 1)","CHG 1 DESC (LIC 1)","CHG 1 LONG DESC (LIC 1)","CYCLE CODE (LIC 2)","CYCLE DESC (LIC 2)","LIC TEXT1 (LIC 2)","LIC TEXT2 (LIC 2)","LIC TEXT4 (LIC 2)","CYCLE DESC (LIC 3)","LIC TEXT2 (LIC 3)","CHG 1 DESC (LIC 3)","CHG 1 LONG DESC (LIC 3)","CYCLE CODE (LIC 4)","CYCLE DESC (LIC 4)","LIC TEXT1 (LIC 4)","LIC TEXT2 (LIC 4)","LIC TEXT4 (LIC 4)","CYCLE CODE (LIC 5)","CYCLE DESC (LIC 5)","LIC TEXT1 (LIC 5)","LIC TEXT2 (LIC 5)","QTY STAT CD (LIC 5)","address...30","lon","lat","address...33"
"1",670,"JACKSON","JOLIET","IL",60432,"LOS TRES HERMANOS","36-3837762","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQUOR LICENSE","CLASS V VIDEO GAMING","CLASS V","CLASS V VIDEO GAMING","LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS M VIDEO POKER ONLY",NA,"BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","SEAT","670 JACKSON JOLIET IL 60432",-88.0643506,41.5315572,"670 e jackson st, joliet, il 60432, usa"
"2",117,"CENTER","JOLIET","IL",60435,"O'CHARLEY'S IRISH PUB","36-3293144","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"LIQUOR LICENSE","CLASS M MUSIC/ENTERTAINMENT","CLASS M","CLASS M MUSIC/ENTERTAINMENT","LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS V VIDEO GAMING",NA,"LIQ","LIQUOR LICENSE","LIQUOR LICENSE","CLASS G OUTDOOR/GRANDFATHERED",NA,"117 CENTER JOLIET IL 60435",-88.091366,41.5211041,"117 s center st, joliet, il 60436, usa"
"3",3340,"MALL LOOP","JOLIET","IL",60431,"CINEMARK 1044","75-2206284","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","AMUSEMENT- MOVIE THEATER","MV THTR","AMUSEMENT - MOVIE THEATER LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT",NA,"BL","BUSINESS LICENSE","BUSINESS LICENSE","AMUSEMENT",NA,"3340 MALL LOOP JOLIET IL 60431",-88.1655569,41.5762473,"3340 mall loop dr, joliet, il 60431, usa"
"4",868,"COLLINS","JOLIET","IL",60432,"COLLINS ST AUTO PARTS CO","26-0891885","COIN VENDING-FOOD/SODA","COIN FOOD","COIN VENDING - FOOD/SODA LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","PAINT SALES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"868 COLLINS JOLIET IL 60432",-88.0721546,41.5403993,"868 collins st, joliet, il 60432, usa"
"5",2022,"ESSINGTON","JOLIET","IL",60435,"DARCY BUICK GMC","36-3781265","SECOND HAND SALES","2ND HND SL","SECOND HAND SALES LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","SECOND HAND SALES",NA,"BUSINESS LICENSE","PUBLIC GARAGE","PUBLIC GRG","PUBLIC GARAGE LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022 ESSINGTON JOLIET IL 60435",-88.1597846,41.559522,"2022 essington rd, joliet, il 60435, usa"
"6",809,"PLAINFIELD","JOLIET","IL",60435,"CVS PHARMACY 2936","37-1414552","FOOD STORE","FOOD STORE","FOOD STORE LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"809 PLAINFIELD JOLIET IL 60435",-88.1019245,41.5387772,"809 plainfield rd, joliet, il 60435, usa"
"7",308,"WESTERN","JOLIET","IL",60435,"WESTERN FOODS","27-1035918","FOOD STORE","FOOD STORE","FOOD STORE LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","TOBACCO DEALER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"308 WESTERN JOLIET IL 60435",-88.0893299,41.527712,"308 western ave # a, joliet, il 60435, usa"
"8",0,"OUT OF AREA",NA,NA,NA,"NATIONAL ENTERTAINMENT NETWORK","84-1093721","COIN VENDING-BULK","COIN BULK","COIN VENDING - BULK LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","COIN VENDING AMUSEMENT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
"9",1700,"JEFFERSON","JOLIET","IL",60435,"DAIRY QUEEN","36-4427686","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,"BUSINESS LICENSE","FOOD SERVICE ESTABLISHMENT","FOOD SRVC","FOOD SERVICE ESTABLISHMENT LICENSE","BL","BUSINESS LICENSE","BUSINESS LICENSE","FOOD STORE",NA,NA,NA,NA,NA,NA,"1700 JEFFERSON JOLIET IL 60435",-88.1225417,41.5223617,"1700 w jefferson st, joliet, il 60435, usa"
"10",0,"OUT OF AREA",NA,NA,NA,"CTM GROUP","01-05722964","COIN VENDING AMUSEMENT","CN AMSNT","COIN VENDING - AMUSEMENT LICENSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0 OUT OF AREA NA NA NA",NA,NA,NA
