LOC.NO,LOC.STREET,LOC.CITY,LOC.STATE,LOC.ZIP,BUS.NAME,DBA,SSN,BUS.PHONE,LIC.TEXT2..LIC.1.,CHG.1.DESC..LIC.1.,CHG.1.LONG.DESC..LIC.1.,CYCLE.CODE..LIC.2.,CYCLE.DESC..LIC.2.,LIC.TEXT1..LIC.2.,LIC.TEXT2..LIC.2.,LIC.TEXT4..LIC.2.,CYCLE.DESC..LIC.3.,LIC.TEXT1..LIC.3.,LIC.TEXT2..LIC.3.,CHG.1.DESC..LIC.3.,CHG.1.LONG.DESC..LIC.3.,CYCLE.CODE..LIC.4.,CYCLE.DESC..LIC.4.,LIC.TEXT1..LIC.4.,LIC.TEXT2..LIC.4.,LIC.TEXT4..LIC.4.,CYCLE.CODE..LIC.5.,CYCLE.DESC..LIC.5.,LIC.TEXT1..LIC.5.,LIC.TEXT2..LIC.5.,QTY.STAT.CD..LIC.5.,QTY.CD.DESC..LIC.5.,address,lon,lat
670,JACKSON,JOLIET,IL,60432,LOS TRES HERMANOS INC,LOS TRES HERMANOS,36-3837762,815-740-1668,CLASS M VIDEO POKER ONLY,CLASS M VP,CLASS M VIDEO POKER ONLY,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS A PREMISES & PACKAGE,,BL,BUSINESS LICENSE,BUSINESS LICENSE,COIN VENDING-VIDEO POKER,MACHN,MACHINE,670 JACKSON JOLIET IL,-88.06435060000001,41.53155719999999
117,CENTER,JOLIET,IL,60435,"CHARLEY, BRIAN",O'CHARLEY'S IRISH PUB,UNKNOWN,815-210-1690,CLASS G OUTDOOR/GRANDFATHERED,CLASS G,CLASS G OUTDOOR/GRANDFATHERED,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS Z OUTDOOR/BEER GRD FULL,,LIQUOR LICENSE,LIQUOR LICENSE,CLASS M ENTERTAINMENT/VP,CL M EN/VP,CLASS M ENTERTAINMENT/VP,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS H EXTRA HOUR,,LIQ,LIQUOR LICENSE,LIQUOR LICENSE,CLASS A PREMISES & PACKAGE,,,117 CENTER JOLIET IL,-88.09147399999999,41.5260924
3340,MALL LOOP,JOLIET,IL,60431,CINEMARK USA,CINEMARK 1044,75-2206284,815-267-8832,AMUSEMENT- MOVIE THEATER,MV THTR,AMUSEMENT - MOVIE THEATER LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD SERVICE ESTABLISHMENT,,BUSINESS LICENSE,BUSINESS LICENSE,AMUSEMENT,AMUSEMENT,AMUSEMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,BL,BUSINESS LICENSE,BUSINESS LICENSE,COIN VENDING AMUSEMENT,MACHN,MACHINE,3340 MALL LOOP JOLIET IL,-88.1655663,41.5762899
868,COLLINS,JOLIET,IL,60432,COLLINS ST AUTO PARTS CO INC,COLLINS ST AUTO PARTS CO,26-0891885,815-744-1490,COIN VENDING-FOOD/SODA,COIN FOOD,COIN VENDING - FOOD/SODA LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,PAINT SALES,,,,,,,,,,,,,,,,,,868 COLLINS JOLIET IL,-88.0721688,41.5404077
2022,ESSINGTON,JOLIET,IL,60435,D'ARCY BUICK GMC INC,DARCY BUICK GMC,36-3781265,815-439-5500,SECOND HAND SALES,2ND HND SL,SECOND HAND SALES LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,PUBLIC GARAGE,,,,,,,,,,,,,,,,,,2022 ESSINGTON JOLIET IL,-88.1597778,41.5594711
809,PLAINFIELD,JOLIET,IL,60435,HIGHLAND PARK CVS LLC,CVS PHARMACY 2936,37-1414552,815-727-8701,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,,,,,,,,,,,,,,,,,,,,,,809 PLAINFIELD JOLIET IL,-88.1019245,41.5387772
308,WESTERN,JOLIET,IL,60435,WESTERN FOODS LLC,WESTERN FOODS,27-1035918,815-722-7633,FOOD STORE,FOOD STORE,FOOD STORE LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,TOBACCO DEALER,,,,,,,,,,,,,,,,,,308 WESTERN JOLIET IL,-88.08939319999999,41.5276789
0,OUT OF AREA,,,NA,NEN MCP HOLDINGS LLC,NATIONAL ENTERTAINMENT NETWORK,84-1093721,303-444-3428,COIN VENDING-BULK,COIN BULK,COIN VENDING - BULK LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,COIN VENDING AMUSEMENT,,,,,,,,,,,,,,,,,,0 OUT OF AREA  ,-71.94517499999999,41.044312
1700,JEFFERSON,JOLIET,IL,60435,ANUP ENTERPRISES,DAIRY QUEEN,36-4427686,630-202-9751,FOOD SERVICE ESTABLISHMENT,FOOD SRVC,FOOD SERVICE ESTABLISHMENT LICENSE,BL,BUSINESS LICENSE,BUSINESS LICENSE,FOOD STORE,,,,,,,,,,,,,,,,,,1700 JEFFERSON JOLIET IL,-88.12254229999999,41.5223695
0,OUT OF AREA,,,NA,CTM GROUP INC,CTM GROUP,01-05722964,603-327-0087,COIN VENDING AMUSEMENT,CN AMSNT,COIN VENDING - AMUSEMENT LICENSE,,,,,,,,,,,,,,,,,,,,,,0 OUT OF AREA  ,-71.94517499999999,41.044312
